Distance_(pixels),Gray_Value
0,27.3333
1,27.1955
2,27.1719
3,27.3333
4,27.3333
5,27.3333
6,26.9897
7,26.6562
8,26.6667
9,26.6667
10,26.5733
11,26.0323
12,26.1582
13,26.6667
14,26.6667
15,26.9093
16,26.6667
17,26.6947
18,26.8688
19,26.6667
20,26.9362
21,27.6450
22,27.8777
23,27.4046
24,28.2827
25,28.1837
26,28.3333
27,28.4376
28,29.1451
29,29.4246
30,29.0000
31,29.0000
32,28.5847
33,28.4487
34,29.3333
35,29.3333
36,29.3333
37,29.3333
38,29.3333
39,29.1350
40,29.0929
41,29.3286
42,29.3333
43,29.5630
44,29.6914
45,31.1440
46,30.8128
47,30.2592
48,30.9103
49,31.2868
50,31.6667
51,31.6482
52,31.4125
53,31.3231
54,31.6667
55,31.6667
56,31.8888
57,31.7657
58,32.0427
59,32.9267
60,33.0000
61,33.1090
62,34.0490
63,34.4644
64,35.1676
65,34.4167
66,33.8934
67,33.9420
68,35.2274
69,35.1532
70,34.9760
71,35.1273
72,35.0619
73,35.4348
74,35.7781
75,35.7634
76,36.7546
77,36.5634
78,36.3931
79,38.7996
80,38.5081
81,38.1570
82,37.6983
83,38.1519
84,38.3333
85,38.3333
86,38.3333
87,39.0774
88,39.5623
89,39.6502
90,39.1728
91,39.3333
92,39.2459
93,38.9000
94,39.0000
95,39.3806
96,40.7951
97,40.6160
98,40.9298
99,41.1073
100,41.9857
101,42.4640
102,43.0369
103,43.2726
104,43.6412
105,44.1698
106,44.3327
107,44.0969
108,43.6179
109,42.3748
110,42.6107
111,43.7429
112,45.0824
113,45.3182
114,45.5315
115,45.6667
116,45.6667
117,45.6667
118,45.6667
119,46.1425
120,47.7665
121,47.3848
122,46.8386
123,47.0317
124,48.3125
125,48.2212
126,47.5906
127,47.3546
128,47.8537
129,48.1326
130,48.6039
131,48.9118
132,49.3468
133,48.6667
134,48.6667
135,49.1878
136,49.5527
137,49.6122
138,49.6667
139,49.3153
140,48.6863
141,48.9222
142,48.8034
143,47.8906
144,47.8835
145,48.5104
146,48.6515
147,47.3832
148,47.3333
149,47.4626
150,47.3383
151,46.5282
152,45.8168
153,46.0527
154,46.4323
155,46.9083
156,47.5580
157,47.7377
158,45.7947
159,46.0018
160,46.4191
161,46.1683
162,45.5831
163,45.3333
164,45.3603
165,45.0748
166,44.6667
167,44.6597
168,44.2193
169,42.7426
170,42.1231
171,42.5944
172,43.5586
173,42.9189
174,41.2052
175,39.9877
176,41.0591
177,41.7144
178,41.1868
179,41.0000
180,40.4455
181,39.6796
182,39.6667
183,38.9565
184,38.3176
185,37.6236
186,37.2330
187,37.0000
188,37.0000
189,36.5498
190,35.7976
191,34.9035
192,34.4318
193,34.3333
194,34.3198
195,34.0542
196,33.4342
197,33.0000
198,33.0000
199,32.9048
200,32.4648
201,31.4674
202,31.0092
203,30.4513
204,30.1553
205,30.2375
206,30.0570
207,29.9909
208,29.3911
209,29.6270
210,29.4924
